relative_path,classID
data/clips/FluencyBank_010_1.wav,0
data/clips/FluencyBank_010_4.wav,1
data/clips/FluencyBank_010_6.wav,0
data/clips/FluencyBank_010_8.wav,0
data/clips/FluencyBank_010_13.wav,0
data/clips/FluencyBank_010_20.wav,0
data/clips/FluencyBank_010_21.wav,0
data/clips/FluencyBank_010_30.wav,0
data/clips/FluencyBank_010_31.wav,0
data/clips/FluencyBank_010_32.wav,0
data/clips/FluencyBank_010_34.wav,0
data/clips/FluencyBank_010_37.wav,0
data/clips/FluencyBank_010_41.wav,2
data/clips/FluencyBank_010_42.wav,0
data/clips/FluencyBank_010_46.wav,0
data/clips/FluencyBank_010_48.wav,0
data/clips/FluencyBank_010_50.wav,2
data/clips/FluencyBank_010_51.wav,0
data/clips/FluencyBank_010_53.wav,0
data/clips/FluencyBank_010_56.wav,0
data/clips/FluencyBank_010_57.wav,0
data/clips/FluencyBank_010_58.wav,0
data/clips/FluencyBank_010_61.wav,0
data/clips/FluencyBank_010_62.wav,0
data/clips/FluencyBank_010_63.wav,0
data/clips/FluencyBank_010_64.wav,0
data/clips/FluencyBank_010_65.wav,0
data/clips/FluencyBank_010_66.wav,0
data/clips/FluencyBank_010_70.wav,0
data/clips/FluencyBank_010_74.wav,0
data/clips/FluencyBank_010_80.wav,0
data/clips/FluencyBank_010_81.wav,0
data/clips/FluencyBank_010_83.wav,0
data/clips/FluencyBank_010_84.wav,0
data/clips/FluencyBank_010_86.wav,2
data/clips/FluencyBank_010_87.wav,0
data/clips/FluencyBank_010_89.wav,0
data/clips/FluencyBank_010_91.wav,0
data/clips/FluencyBank_010_94.wav,0
data/clips/FluencyBank_016_0.wav,0
data/clips/FluencyBank_016_3.wav,0
data/clips/FluencyBank_016_7.wav,0
data/clips/FluencyBank_016_13.wav,3
data/clips/FluencyBank_016_15.wav,0
data/clips/FluencyBank_016_19.wav,0
data/clips/FluencyBank_016_35.wav,2
data/clips/FluencyBank_016_41.wav,0
data/clips/FluencyBank_016_42.wav,0
data/clips/FluencyBank_016_45.wav,0
data/clips/FluencyBank_016_50.wav,0
data/clips/FluencyBank_016_52.wav,2
data/clips/FluencyBank_016_58.wav,0
data/clips/FluencyBank_016_64.wav,0
data/clips/FluencyBank_016_70.wav,2
data/clips/FluencyBank_016_76.wav,2
data/clips/FluencyBank_016_77.wav,2
data/clips/FluencyBank_016_83.wav,0
data/clips/FluencyBank_016_84.wav,0
data/clips/FluencyBank_016_85.wav,0
data/clips/FluencyBank_016_88.wav,0
data/clips/FluencyBank_016_92.wav,0
data/clips/FluencyBank_016_93.wav,1
data/clips/FluencyBank_016_95.wav,2
data/clips/FluencyBank_016_98.wav,1
data/clips/FluencyBank_016_112.wav,3
data/clips/FluencyBank_016_114.wav,2
data/clips/FluencyBank_017_5.wav,2
data/clips/FluencyBank_017_9.wav,0
data/clips/FluencyBank_017_10.wav,3
data/clips/FluencyBank_017_13.wav,0
data/clips/FluencyBank_017_15.wav,1
data/clips/FluencyBank_017_16.wav,2
data/clips/FluencyBank_017_26.wav,0
data/clips/FluencyBank_017_29.wav,2
data/clips/FluencyBank_017_30.wav,2
data/clips/FluencyBank_017_32.wav,0
data/clips/FluencyBank_017_34.wav,1
data/clips/FluencyBank_017_36.wav,0
data/clips/FluencyBank_017_39.wav,0
data/clips/FluencyBank_017_40.wav,0
data/clips/FluencyBank_017_41.wav,0
data/clips/FluencyBank_017_45.wav,2
data/clips/FluencyBank_017_49.wav,0
data/clips/FluencyBank_017_51.wav,2
data/clips/FluencyBank_017_55.wav,0
data/clips/FluencyBank_017_59.wav,0
data/clips/FluencyBank_017_65.wav,1
data/clips/FluencyBank_019_5.wav,2
data/clips/FluencyBank_019_6.wav,0
data/clips/FluencyBank_019_8.wav,2
data/clips/FluencyBank_019_16.wav,0
data/clips/FluencyBank_019_22.wav,0
data/clips/FluencyBank_019_30.wav,2
data/clips/FluencyBank_019_38.wav,0
data/clips/FluencyBank_019_41.wav,1
